Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Cassette.React\Cassette.React.csproj,File,Cassette.React\Cassette.React.csproj,,,Cassette 2.4.2,,,,,"Cassette, 2.4.2  Recommendation:  No supported version found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Cassette.React\Cassette.React.csproj,File,Cassette.React\Cassette.React.csproj,,,,,,,,Current target framework: net40 Recommended target framework: net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,React.AspNet\React.AspNet.csproj,File,React.AspNet\React.AspNet.csproj,,,Microsoft.AspNetCore.Mvc.ViewFeatures 2.2.0,,,,,"Microsoft.AspNetCore.Mvc.ViewFeatures, 2.2.0  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.Mvc.ViewFeatures, and replace with new package Microsoft.AspNetCore.Mvc.ViewFeatures, 2.3.10"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,React.AspNet\React.AspNet.csproj,File,React.AspNet\React.AspNet.csproj,,,,,,,,Current target framework: netstandard2.0;netcoreapp3.0 Recommended target framework: netstandard2.0;netcoreapp3.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,React.AspNet.Middleware\React.AspNet.Middleware.csproj,File,React.AspNet.Middleware\React.AspNet.Middleware.csproj,,,Microsoft.Extensions.DependencyInjection 2.2.0,,,,,"Microsoft.Extensions.DependencyInjection, 2.2.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,React.AspNet.Middleware\React.AspNet.Middleware.csproj,File,React.AspNet.Middleware\React.AspNet.Middleware.csproj,,,Microsoft.Extensions.FileProviders.Physical 2.2.0,,,,,"Microsoft.Extensions.FileProviders.Physical, 2.2.0  Recommendation:  Remove Microsoft.Extensions.FileProviders.Physical, and replace with new package Microsoft.Extensions.FileProviders.Physical 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,React.AspNet.Middleware\React.AspNet.Middleware.csproj,File,React.AspNet.Middleware\React.AspNet.Middleware.csproj,,,Microsoft.Extensions.Caching.Abstractions 2.2.0,,,,,"Microsoft.Extensions.Caching.Abstractions, 2.2.0  Recommendation:  Remove Microsoft.Extensions.Caching.Abstractions, and replace with new package Microsoft.Extensions.Caching.Abstractions 10.0.8"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,React.AspNet.Middleware\React.AspNet.Middleware.csproj,File,React.AspNet.Middleware\React.AspNet.Middleware.csproj,,,Microsoft.AspNetCore.Hosting.Abstractions 2.2.0,,,,,"Microsoft.AspNetCore.Hosting.Abstractions, 2.2.0  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.Hosting.Abstractions, and replace with new package Microsoft.AspNetCore.Hosting.Abstractions, 2.3.10"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,React.AspNet.Middleware\React.AspNet.Middleware.csproj,File,React.AspNet.Middleware\React.AspNet.Middleware.csproj,,,Microsoft.AspNetCore.StaticFiles 2.2.0,,,,,"Microsoft.AspNetCore.StaticFiles, 2.2.0  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.StaticFiles, and replace with new package Microsoft.AspNetCore.StaticFiles, 2.3.10"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,React.AspNet.Middleware\React.AspNet.Middleware.csproj,File,React.AspNet.Middleware\React.AspNet.Middleware.csproj,,,Microsoft.Extensions.DependencyInjection 2.2.0,,,,,"Microsoft.Extensions.DependencyInjection, 2.2.0  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection, 10.0.8"
